step,loss
1,0.334541
2,0.314390
3,0.310691
4,0.313906
5,0.321069
6,0.316454
7,0.316913
8,0.329073
9,0.297693
10,0.341231
11,0.300061
12,0.323287
13,0.317311
14,0.332447
15,0.327316
16,0.338007
17,0.297700
18,0.315553
19,0.324247
20,0.300574
21,0.302297
22,0.333413
23,0.293206
24,0.335901
25,0.290515
26,0.324586
27,0.321846
28,0.292753
29,0.307219
30,0.295350
31,0.324888
32,0.321697
33,0.327451
34,0.319826
35,0.309419
36,0.301924
37,0.312722
38,0.311484
39,0.302296
40,0.319120
41,0.322337
42,0.334749
43,0.307580
44,0.326392
45,0.317539
46,0.323617
47,0.307073
48,0.320178
49,0.307376
50,0.290279
51,0.329428
52,0.315107
53,0.314530
54,0.326507
55,0.317216
56,0.299173
57,0.314620
58,0.271619
59,0.314414
60,0.294874
61,0.290099
62,0.309615
63,0.333737
64,0.288310
65,0.309406
66,0.278633
67,0.330220
68,0.319878
69,0.322977
70,0.321540
71,0.310369
72,0.326154
73,0.320638
74,0.302262
75,0.322729
76,0.291197
77,0.310994
78,0.299835
79,0.277528
80,0.308571
81,0.321769
82,0.312727
83,0.298982
84,0.302394
85,0.311780
86,0.302690
87,0.299666
88,0.304667
89,0.316908
90,0.295187
91,0.310822
92,0.292597
93,0.304598
94,0.274940
95,0.291192
96,0.290886
97,0.306861
98,0.292630
99,0.279485
100,0.306519
101,0.325445
102,0.313600
103,0.298272
104,0.322397
105,0.300045
106,0.280224
107,0.284164
108,0.314382
109,0.295880
110,0.285964
111,0.306159
112,0.294854
113,0.288259
114,0.298259
115,0.300745
116,0.333354
117,0.281852
118,0.320300
119,0.309735
120,0.330859
121,0.294202
122,0.312771
123,0.328615
124,0.297317
125,0.271193
126,0.297785
127,0.289280
128,0.302049
129,0.334586
130,0.312111
131,0.274157
132,0.301964
133,0.325334
134,0.297884
135,0.291317
136,0.299435
137,0.304385
138,0.290774
139,0.285208
140,0.305423
141,0.295299
142,0.276139
143,0.284035
144,0.317955
145,0.292510
146,0.292890
147,0.288470
148,0.294567
149,0.295145
150,0.276631
151,0.279221
152,0.302692
153,0.298413
154,0.293615
155,0.294479
156,0.297924
157,0.292441
158,0.306484
159,0.288253
160,0.297333
161,0.301967
162,0.297247
163,0.295388
164,0.279230
165,0.301298
166,0.279268
167,0.290097
168,0.283055
169,0.289395
170,0.264222
171,0.278889
172,0.290441
173,0.276836
174,0.277533
175,0.291325
176,0.291205
177,0.287034
178,0.299392
179,0.298909
180,0.292439
181,0.295624
182,0.293140
183,0.297943
184,0.284117
185,0.281539
186,0.285993
187,0.288083
188,0.285710
189,0.304276
190,0.284565
